编号,所属产品,所属模块,所属计划,需求来源,来源备注,需求名称,需求描述,优先级,当前状态,所处阶段,由谁创建,创建日期,由谁评审,评审时间,最后修改,最后修改日期,需求变更记录,受影响的需求id
1,渔乐生活APP,/地图,管理员需求,用户,,钓点审核,管理员进行钓点审核,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
2,渔乐生活APP,/地图,管理员需求,用户,,渔具店审核,管理员进行渔具店审核,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
3,渔乐生活APP,/地图,管理员需求,用户,,垂钓园审核,管理员进行垂钓园审核,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
4,渔乐生活APP,/地图,管理员需求,用户,,钓友审核,管理员进行钓友审核,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
5,渔乐生活APP,/地图,管理员需求,用户,,功能模块的维护,管理员进行地图功能模块的维护（增删改查）,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
6,渔乐生活APP,/动态,管理员需求,用户,,动态内容的审核,管理员进行动态内容的审核,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
7,渔乐生活APP,/动态,管理员需求,用户,,动态评论的审核,管理员进行动态评论的审核,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
8,渔乐生活APP,/动态,管理员需求,用户,,动态功能模块的维护,管理员进行动态功能模块的维护（增删改查）,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
9,渔乐生活APP,/直播,管理员需求,用户,,直播评论进行审核,管理员对直播评论进行审核,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
10,渔乐生活APP,/直播,管理员需求,用户,,直播内容进行审核,管理员对直播内容进行审核,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
11,渔乐生活APP,/直播,管理员需求,用户,,弹幕进行审核,管理员对直播弹幕进行审核,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
12,渔乐生活APP,/直播,管理员需求,用户,,关闭违规直播,管理员可以关闭违规直播,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
13,渔乐生活APP,/直播,管理员需求,用户,,删除违规弹幕和评论,管理员可以删除违规弹幕和评论,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
14,渔乐生活APP,/直播,管理员需求,用户,,禁言用户,管理员可以禁言用户,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
15,渔乐生活APP,/直播,管理员需求,用户,,解禁被禁言的用户,管理员可以解禁被禁言的用户,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
16,渔乐生活APP,/钓友,管理员需求,用户,,群组进行封禁,管理员可以对群组进行封禁,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
17,渔乐生活APP,/钓友,管理员需求,用户,,群组进行解禁,管理员可以对群组进行解禁,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
18,渔乐生活APP,/钓友,管理员需求,用户,,推送活动消息,管理员可以推送活动消息（到用户的钓友功能页面）,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
19,渔乐生活APP,/我的,管理员需求,用户,,封禁违规用户,管理员可以封禁违规用户,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
20,渔乐生活APP,/我的,管理员需求,用户,,解禁用户,管理员可以解禁用户,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
21,渔乐生活APP,/我的,管理员需求,用户,,推送消息,管理员可以推送消息（到用户个人页面）,4,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
22,渔乐生活APP,/反馈,管理员需求,用户,,功能的反馈,管理员可以接收用户对app功能的反馈,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
23,渔乐生活APP,/反馈,管理员需求,用户,,举报反馈,管理员可以接收用户的举报反馈,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
24,渔乐生活APP,/反馈,管理员需求,用户,,个人反馈,管理员可以接收用户的个人反馈（如申诉等）,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
25,渔乐生活APP,/反馈,管理员需求,用户,,反馈进行处理1,管理员需要对举报反馈进行处理（核实，处罚）,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
26,渔乐生活APP,/反馈,管理员需求,用户,,反馈进行处理2,管理员需要对功能反馈进行处理（上报至项目组）,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
27,渔乐生活APP,/反馈,管理员需求,用户,,反馈进行处理3,管理员需要对用户个人反馈进行处理,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
28,渔乐生活APP,/反馈,管理员需求,用户,,处理结果进行通知,管理员需要对反馈处理结果进行通知,3,激活,已计划,牛旷野,2021/5/12,杨枨,2021/5/27,牛旷野,2021/5/27,,
